what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1694004867654
started,bundle,org.eclipse.osgi,3.10.102.v20160118-1700,"org.eclipse.osgi",1694004867656
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.100.v20150423-1455,"org.eclipse.equinox.simpleconfigurator",1694004867656
started,bundle,com.ibm.icu,54.1.1.v201501272100,"com.ibm.icu",1694004867656
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1694004867657
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1694004867657
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1694004867658
started,bundle,org.eclipse.core.contenttype,3.5.0.v20150421-2214,"org.eclipse.core.contenttype",1694004867658
started,bundle,org.eclipse.core.databinding.observable,1.5.0.v20150422-0725,"org.eclipse.core.databinding.observable",1694004867658
started,bundle,org.eclipse.core.databinding.property,1.5.0.v20150422-0725,"org.eclipse.core.databinding.property",1694004867658
started,bundle,org.eclipse.core.expressions,3.5.0.v20150421-2214,"org.eclipse.core.expressions",1694004867659
started,bundle,org.eclipse.core.filebuffers,3.5.500.v20140723-1040,"org.eclipse.core.filebuffers",1694004867659
started,bundle,org.eclipse.core.filesystem,1.5.0.v20150725-1910,"org.eclipse.core.filesystem",1694004867661
started,bundle,org.eclipse.core.jobs,3.7.0.v20150330-2103,"org.eclipse.core.jobs",1694004867661
started,bundle,org.eclipse.core.net,1.2.300.v20141118-1725,"org.eclipse.core.net",1694004867662
started,bundle,org.eclipse.core.resources,3.10.1.v20150725-1910,"org.eclipse.core.resources",1694004867663
started,bundle,org.eclipse.core.runtime,3.11.1.v20150903-1804,"org.eclipse.core.runtime",1694004867663
started,bundle,org.eclipse.core.runtime.compatibility,3.2.300.v20150423-0821,"org.eclipse.core.runtime.compatibility",1694004867663
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1694004867664
started,bundle,org.eclipse.e4.core.commands,0.11.0.v20150422-0725,"org.eclipse.e4.core.commands",1694004867664
started,bundle,org.eclipse.e4.core.contexts,1.4.0.v20150828-0818,"org.eclipse.e4.core.contexts",1694004867664
started,bundle,org.eclipse.e4.core.di,1.5.0.v20150421-2214,"org.eclipse.e4.core.di",1694004867665
started,bundle,org.eclipse.e4.core.di.extensions,0.13.0.v20150421-2214,"org.eclipse.e4.core.di.extensions",1694004867665
started,bundle,org.eclipse.e4.core.services,2.0.0.v20150403-1912,"org.eclipse.e4.core.services",1694004867665
started,bundle,org.eclipse.e4.ui.bindings,0.11.0.v20150422-0725,"org.eclipse.e4.ui.bindings",1694004867665
