what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.context.tasks.ui",1682446816299
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.16.0.v20150525-2001,"org.eclipse.mylyn.bugzilla.ui",1682446816299
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.16.0.v20150525-2001,"org.eclipse.mylyn.bugzilla.core",1682446816300
stopped,bundle,org.eclipse.mylyn.builds.ui,1.8.0.v20150525-1955,"org.eclipse.mylyn.builds.ui",1682446816300
stopped,bundle,org.eclipse.mylyn.help.ui,3.16.0.v20150525-2001,"org.eclipse.mylyn.help.ui",1682446816301
stopped,bundle,org.eclipse.mylyn.java.tasks,3.16.0.v20150522-2252,"org.eclipse.mylyn.java.tasks",1682446816302
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.16.0.v20150525-2001,"org.eclipse.mylyn.tasks.bugs",1682446816303
stopped,bundle,org.eclipse.mylyn.tasks.index.core,3.16.0.v20150525-2001,"org.eclipse.mylyn.tasks.index.core",1682446816303
stopped,bundle,org.eclipse.mylyn.team.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.team.ui",1682446816303
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1682446816305
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.16.0.v20150609-0543,"org.eclipse.mylyn.tasks.ui",1682446816305
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1682446816307
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1682446816308
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1682446816309
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1682446816311
